Date,Open,High,Low,Close,Adj Close,Volume
26-11-2012,20.567858,21.071428,20.489643,21.054644,18.106743,630579600
27-11-2012,21.055357,21.08643,20.717857,20.885,17.960848,533330000
28-11-2012,20.616785,20.921429,20.437857,20.819286,17.904333,520864400
29-11-2012,21.079287,21.223213,20.901787,21.048571,18.101511,514698800
30-11-2012,20.956785,21.014286,20.809999,20.902857,17.976194,391319600
03-12-2012,21.201786,21.235357,20.910713,20.935356,18.004152,364280000
04-12-2012,20.77857,20.77857,20.433214,20.566071,17.686567,557068400
05-12-2012,20.318214,20.330357,19.241785,19.2425,16.548321,1044638000
06-12-2012,18.890715,19.76107,18.522499,19.544287,16.807848,1177212400
07-12-2012,19.764286,19.828571,18.928572,19.044643,16.378166,787040800
10-12-2012,18.75,19.2325,18.627857,18.922144,16.27281,630484400
11-12-2012,19.2775,19.627144,19.191786,19.335358,16.628174,592345600
12-12-2012,19.563213,19.571428,19.1525,19.25,16.554764,487144000
13-12-2012,18.969643,19.201429,18.77857,18.9175,16.268822,625259600
14-12-2012,18.383928,18.504642,18.056429,18.206785,15.657609,1009579200
17-12-2012,18.176071,18.571428,17.901072,18.529642,15.935268,757607200
18-12-2012,18.75,19.103571,18.580357,19.067858,16.398123,625685200
19-12-2012,18.981071,19.060715,18.767857,18.796785,16.165009,449369200
20-12-2012,18.928572,18.935715,18.531429,18.633215,16.024343,481689600
21-12-2012,18.3025,18.559643,18.222857,18.547501,15.950616,596268400
24-12-2012,18.583929,18.723213,18.525356,18.577499,15.976419,175753200
26-12-2012,18.535713,18.552143,18.254286,18.321428,15.756204,302436400
27-12-2012,18.340714,18.4375,18.023571,18.395,15.819472,455120400
28-12-2012,18.224644,18.374287,18.147142,18.199642,15.651472,354278400
31-12-2012,18.233213,19.121429,18.178572,19.006071,16.344988,659492400
02-01-2013,19.779285,19.821428,19.343929,19.608213,16.862822,560518000
03-01-2013,19.567142,19.631071,19.321428,19.360714,16.649973,352965200
04-01-2013,19.1775,19.236786,18.779642,18.821428,16.186197,594333600
07-01-2013,18.642857,18.90357,18.4,18.710714,16.090981,484156400
08-01-2013,18.900356,18.996071,18.616072,18.76107,16.134289,458707200
09-01-2013,18.660713,18.750357,18.428213,18.467857,15.882127,407604400
10-01-2013,18.876785,18.882856,18.411428,18.696787,16.079002,601146000
11-01-2013,18.607143,18.761429,18.536428,18.582144,15.980425,350506800
14-01-2013,17.952856,18.125,17.803928,17.919643,15.410674,734207600
15-01-2013,17.796429,17.821072,17.263571,17.354286,14.924479,876772400
16-01-2013,17.665714,18.194286,17.589287,18.074642,15.543967,690804800
17-01-2013,18.225357,18.241072,17.929644,17.952856,15.439235,453678400
18-01-2013,17.804285,17.936428,17.728571,17.857143,15.356926,472922800
22-01-2013,18.02,18.138571,17.736786,18.0275,15.503434,461546400
23-01-2013,18.171785,18.3925,18.0275,18.3575,15.78723,861509600
24-01-2013,16.428572,16.633215,16.080357,16.089287,13.836592,1460852400
25-01-2013,16.131786,16.293928,15.535714,15.71,13.510408,1208026400
28-01-2013,15.636786,16.186071,15.566429,16.065357,13.816013,785517600
29-01-2013,16.375,16.435715,16.147142,16.366785,14.075237,571158000
30-01-2013,16.321428,16.521429,16.232143,16.315357,14.031006,417155200
31-01-2013,16.320715,16.402857,16.249287,16.2675,13.989853,319334400
01-02-2013,16.396786,16.41,16.012501,16.200714,13.932414,539484400
04-02-2013,16.211071,16.283571,15.785714,15.797143,13.585347,477117200
05-02-2013,15.858929,16.419287,15.793571,16.351429,14.06203,573347600
06-02-2013,16.3025,16.660713,16.16357,16.333929,14.046977,593706400
07-02-2013,16.544643,16.785713,16.218571,16.722143,14.464649,704580800
08-02-2013,16.928572,17.100357,16.723213,16.963572,14.673486,633158400
11-02-2013,17.017857,17.319286,16.901787,17.140356,14.826403,517490400
12-02-2013,17.125357,17.227858,16.705,16.710714,14.454766,609053200
13-02-2013,16.686071,16.915714,16.543571,16.678928,14.427269,475207600
14-02-2013,16.59,16.844286,16.572144,16.663929,14.414296,355275200
15-02-2013,16.744642,16.79143,16.425714,16.434286,14.215656,391745200
19-02-2013,16.467857,16.526072,16.208929,16.428213,14.210402,435783600
20-02-2013,16.346071,16.346071,16.02857,16.030357,13.866258,476302400
21-02-2013,15.928571,16.041786,15.815,15.930714,13.780066,447182400
22-02-2013,16.044643,16.128571,15.95,16.100357,13.926808,330654800
25-02-2013,16.208929,16.254286,15.806071,15.814286,13.679355,372579200
26-02-2013,15.850714,16.126429,15.630714,16.034643,13.869964,501499600
27-02-2013,16.015356,16.158571,15.7375,15.8775,13.734034,587350400
28-02-2013,15.858929,15.995357,15.764286,15.764286,13.636107,322515200
01-03-2013,15.642857,15.649286,15.356429,15.373929,13.298448,552448400
04-03-2013,15.278571,15.292857,14.964286,15.001786,12.976547,582755600
05-03-2013,15.052857,15.5425,15.026786,15.397857,13.319145,638433600
06-03-2013,15.518214,15.544643,15.158214,15.202143,13.14985,460250000
07-03-2013,15.160714,15.428929,15.037857,15.377857,13.301843,468473600
08-03-2013,15.35,15.551071,15.3075,15.418571,13.337063,391482000
11-03-2013,15.348214,15.678929,15.183571,15.638214,13.527054,474236000
12-03-2013,15.557143,15.674286,15.270357,15.301071,13.235423,465911600
13-03-2013,15.301786,15.517857,15.191429,15.298214,13.232951,405549200
14-03-2013,15.458214,15.522857,15.373214,15.446429,13.36116,303875600
15-03-2013,15.640357,15.865357,15.616071,15.845,13.705918,643960800
18-03-2013,15.766071,16.337856,15.757143,16.275715,14.078492,606197200
19-03-2013,16.410713,16.463215,16.017857,16.231787,14.040493,526775200
20-03-2013,16.33643,16.343929,16.056786,16.145714,13.966039,308660800
21-03-2013,16.079287,16.356428,16.075001,16.168928,13.986122,383255600
22-03-2013,16.235001,16.503571,16.182501,16.496786,14.269717,395105200
25-03-2013,16.596071,16.78393,16.492144,16.556429,14.321308,501135600
26-03-2013,16.622856,16.637142,16.4475,16.469286,14.245933,294294000
27-03-2013,16.302143,16.314285,16.0975,16.145714,13.966039,331237200
28-03-2013,16.065001,16.136429,15.772143,15.809286,13.675029,442839600
01-04-2013,15.782143,15.846429,15.276429,15.318214,13.250252,389732000
02-04-2013,15.271429,15.647857,15.228571,15.349643,13.277435,529519200
03-04-2013,15.406071,15.617143,15.368214,15.428214,13.345398,363216000
04-04-2013,15.491429,15.535714,15.1875,15.275714,13.213493,358447600
05-04-2013,15.160714,15.176786,14.988571,15.114286,13.073857,383695200
08-04-2013,15.173214,15.267857,15.088929,15.221786,13.166842,300829200
09-04-2013,15.227143,15.303571,15.098214,15.249286,13.190633,306614000
10-04-2013,15.289286,15.609286,15.214643,15.560357,13.459705,375928000
11-04-2013,15.49,15.6425,15.4,15.511786,13.417692,328364400
12-04-2013,15.505357,15.505357,15.324643,15.35,13.277752,238613200
15-04-2013,15.25,15.281786,14.983929,14.994643,12.970366,317520000
16-04-2013,15.056071,15.236071,15.020357,15.222857,13.167769,305771200
17-04-2013,15.009643,15.021429,14.218214,14.385714,12.443641,945056000
18-04-2013,14.463929,14.4925,13.919286,14.001786,12.111545,666299200
19-04-2013,13.856071,14.271429,13.753571,13.9475,12.064588,609274400
22-04-2013,14.022857,14.364286,13.973929,14.238214,12.316051,429920400
23-04-2013,14.428214,14.585,14.243214,14.504643,12.546515,664238400
24-04-2013,14.055,14.830357,14.017857,14.480714,12.525813,969651200
25-04-2013,14.686786,14.783571,14.535714,14.585,12.616023,384837600
26-04-2013,14.636071,14.956071,14.580357,14.9,12.888499,764097600
29-04-2013,15.016071,15.486429,15,15.361429,13.287633,640326400
30-04-2013,15.539286,15.901786,15.431071,15.813571,13.678739,691538400
01-05-2013,15.873571,15.890357,15.513929,15.688929,13.570919,506909200
02-05-2013,15.777857,16.02107,15.736786,15.911429,13.763385,421828400
03-05-2013,16.118214,16.186787,16.041071,16.070715,13.901166,361300800
06-05-2013,16.275356,16.507143,16.225357,16.45393,14.232647,496641600
07-05-2013,16.606071,16.633928,16.203571,16.380714,14.169315,483753200
08-05-2013,16.394285,16.620358,16.278929,16.565714,14.329343,472598000
09-05-2013,16.421785,16.535713,16.270714,16.313213,14.204328,398487600
10-05-2013,16.356071,16.418215,16.088572,16.1775,14.086159,334852000
13-05-2013,16.125357,16.353571,16.125,16.240713,14.141199,316948800
14-05-2013,16.208929,16.257143,15.791071,15.852143,13.802864,447118000
15-05-2013,15.684286,15.75,15.084286,15.316071,13.33609,741613600
16-05-2013,15.115714,15.6375,14.960714,15.520714,13.514277,603204000
17-05-2013,15.680357,15.7175,15.393214,15.473571,13.473231,427904400
20-05-2013,15.425357,15.921429,15.360714,15.818929,13.77394,451578400
21-05-2013,15.648214,15.91,15.507143,15.702143,13.672254,456022000
22-05-2013,15.858929,16.012501,15.650714,15.7625,13.724808,443038400
23-05-2013,15.569643,15.934286,15.563929,15.790714,13.749379,353021200
24-05-2013,15.744643,15.916429,15.727143,15.898214,13.842978,276166800
28-05-2013,16.067858,16.111071,15.744643,15.765714,13.727606,386145200
29-05-2013,15.714286,15.982143,15.692857,15.891071,13.83676,330576400
30-05-2013,15.916071,16.232143,15.875357,16.127857,14.042934,353519600
31-05-2013,16.160713,16.325001,16.053572,16.061787,13.985406,384302800
03-06-2013,16.0975,16.155714,15.802857,16.097143,14.016192,372352400
04-06-2013,16.186428,16.229643,15.978214,16.046785,13.972342,292728800
05-06-2013,15.916071,16.097143,15.846786,15.896786,13.841735,290589600
06-06-2013,15.909643,15.964286,15.501786,15.659286,13.63494,416934000
07-06-2013,15.589286,15.83,15.456071,15.778929,13.739113,404535600
10-06-2013,15.883214,16.03857,15.6,15.674643,13.64831,450153200
11-06-2013,15.562143,15.812857,15.475714,15.628571,13.608194,286112400
12-06-2013,15.696429,15.758929,15.410714,15.435357,13.439956,265227200
13-06-2013,15.446429,15.612143,15.3125,15.57,13.557195,285832400
14-06-2013,15.55,15.581786,15.303571,15.358929,13.373407,271866000
17-06-2013,15.408571,15.560714,15.37,15.428571,13.43405,259414400
18-06-2013,15.412857,15.532143,15.364643,15.420357,13.426897,195025600
19-06-2013,15.407143,15.416429,15.107143,15.107143,13.154173,310940000
20-06-2013,14.975,15.213571,14.8275,14.887143,12.962615,357310800
21-06-2013,14.946071,15,14.575,14.767857,12.858749,481118400
24-06-2013,14.55,14.595,14.216071,14.376429,12.517919,480746000
25-06-2013,14.489286,14.563929,14.243929,14.379643,12.52072,314162800
26-06-2013,14.425,14.456786,14.130714,14.216786,12.378918,367724000
27-06-2013,14.258929,14.335357,14.055,14.063571,12.245509,337246000
28-06-2013,13.977143,14.295357,13.888214,14.161786,12.33103,578516400
01-07-2013,14.381786,14.723929,14.329286,14.615,12.725651,391053600
02-07-2013,14.641429,15.058214,14.623929,14.946071,13.013923,469865200
03-07-2013,15.030714,15.106429,14.908929,15.028571,13.085755,240928800
05-07-2013,15.013929,15.1175,14.833929,14.907857,12.980647,274024800
08-07-2013,15.003929,15.035714,14.666071,14.823214,12.906949,298138400
09-07-2013,14.771429,15.125,14.656429,15.083929,13.133958,352584400
10-07-2013,14.985714,15.171429,14.9375,15.026071,13.08358,281405600
11-07-2013,15.105357,15.294643,15.041786,15.260357,13.287579,326292400
12-07-2013,15.273214,15.349643,15.121786,15.2325,13.263323,279563200
15-07-2013,15.178929,15.409286,15.171429,15.265714,13.292242,241917200
16-07-2013,15.232857,15.3825,15.148929,15.364286,13.378074,216538000
17-07-2013,15.346429,15.436429,15.293571,15.368214,13.381495,198990400
18-07-2013,15.477857,15.531071,15.378929,15.42,13.426587,218878800
19-07-2013,15.467857,15.499286,15.155357,15.176786,13.214814,268721600
22-07-2013,15.337857,15.348214,15.195357,15.225357,13.257103,207796400
23-07-2013,15.214286,15.248571,14.953929,14.963929,13.029471,369395600
24-07-2013,15.676071,15.878214,15.545,15.7325,13.698685,591936800
25-07-2013,15.739286,15.764286,15.564643,15.660714,13.636182,229493600
26-07-2013,15.546429,15.751429,15.512143,15.749643,13.713614,200152400
29-07-2013,15.742857,16.071072,15.721429,15.9925,13.925076,248057600
30-07-2013,16.07,16.326786,16.043928,16.190001,14.097046,309422400
31-07-2013,16.249643,16.33357,16.051071,16.161785,14.072476,322957600
01-08-2013,16.276787,16.314285,16.187857,16.309999,14.201529,206250800
02-08-2013,16.3575,16.530357,16.309286,16.519285,14.383759,274783600
05-08-2013,16.596071,16.809643,16.505358,16.766071,14.598646,318855600
06-08-2013,16.715,16.853214,16.506071,16.616072,14.468033,334857600
07-08-2013,16.564285,16.678572,16.491785,16.606428,14.459637,298858000
08-08-2013,16.566429,16.575001,16.355356,16.464643,14.43084,255777200
09-08-2013,16.379999,16.445,16.201786,16.230356,14.22549,266865200
12-08-2013,16.316429,16.737499,16.308214,16.691429,14.629612,364434000
13-08-2013,16.819286,17.66643,16.71607,17.484644,15.324842,881941200
14-08-2013,17.781429,18.008928,17.621429,17.803572,15.604381,756372400
15-08-2013,17.729286,17.942858,17.467142,17.782499,15.585907,490294000
16-08-2013,17.862499,17.962143,17.816429,17.940357,15.724268,362306000
19-08-2013,18.012142,18.347857,18,18.133572,15.893616,510518400
20-08-2013,18.20393,18.234644,17.886429,17.895357,15.684821,358688400
21-08-2013,17.985357,18.112499,17.9,17.941429,15.725202,335879600
22-08-2013,18.035,18.056786,17.792856,17.962856,15.743993,244207600
23-08-2013,17.973928,17.976786,17.833929,17.893572,15.683266,222731600
26-08-2013,17.883928,18.22143,17.875,17.963215,15.744303,330965600
27-08-2013,17.785713,17.946787,17.367857,17.449642,15.294169,424188800
28-08-2013,17.357143,17.707144,17.357143,17.532143,15.366476,307608000
29-08-2013,17.558929,17.732143,17.540358,17.560715,15.39152,239657600
30-08-2013,17.571428,17.605356,17.375,17.400715,15.251285,272297200
03-09-2013,17.610714,17.878571,17.405357,17.449286,15.293855,331928800
04-09-2013,17.841429,17.937143,17.724285,17.810356,15.610322,345032800
05-09-2013,17.866072,17.88143,17.629999,17.688213,15.503272,236367600
06-09-2013,17.80143,17.834999,17.498215,17.793571,15.595616,359525600
09-09-2013,18.035713,18.139999,17.981428,18.077499,15.844462,340687200
10-09-2013,18.078571,18.123215,17.482143,17.665714,15.483549,743195600
11-09-2013,16.678928,16.9175,16.600357,16.70393,14.64057,898696400
12-09-2013,16.732143,16.978571,16.643213,16.881786,14.796458,404051200
13-09-2013,16.762142,16.85107,16.59643,16.603571,14.552608,298835600
16-09-2013,16.464287,16.486071,15.972143,16.075714,14.089954,543706800
17-09-2013,15.998571,16.418215,15.982143,16.261429,14.252728,399380800
18-09-2013,16.542143,16.655357,16.452143,16.595715,14.545723,456862000
19-09-2013,16.810715,16.993929,16.758928,16.867857,14.784249,404541200
20-09-2013,17.071428,17.09107,16.642857,16.693214,14.631178,699302800
23-09-2013,17.717857,17.746786,17.235714,17.522858,15.358337,762106800
24-09-2013,17.674286,17.695356,17.422144,17.467857,15.310132,364344400
25-09-2013,17.47143,17.487143,17.19393,17.1975,15.07317,316957200
26-09-2013,17.357143,17.44857,17.282143,17.365,15.219978,237221600
27-09-2013,17.277857,17.309643,17.168571,17.241072,15.111361,228040400
30-09-2013,17.044643,17.202143,16.943214,17.026787,14.923544,260156400
01-10-2013,17.0875,17.469286,17.084999,17.427143,15.274447,353883600
02-10-2013,17.343929,17.564285,17.276787,17.484285,15.324526,289184000
03-10-2013,17.518213,17.583929,17.169287,17.264643,15.132019,322753200
04-10-2013,17.280714,17.307142,17.092857,17.251072,15.120126,258868400
07-10-2013,17.377144,17.594643,17.333929,17.419643,15.267873,312292400
08-10-2013,17.497856,17.522858,17.162144,17.17643,15.054705,290917200
09-10-2013,17.308571,17.42107,17.081429,17.378214,15.231564,301725200
10-10-2013,17.547144,17.584999,17.394285,17.487143,15.327038,278602800
11-10-2013,17.3925,17.637142,17.327143,17.600357,15.426269,267738800
14-10-2013,17.493929,17.770714,17.476786,17.715714,15.527369,261898000
15-10-2013,17.768213,17.928572,17.697144,17.809999,15.610007,320073600
16-10-2013,17.885357,17.9475,17.829643,17.896786,15.686073,251101200
17-10-2013,17.856428,18.027857,17.845715,18.017857,15.792186,253593200
18-10-2013,18.071072,18.187857,18.061071,18.174643,15.929609,290542000
21-10-2013,18.2775,18.725,18.268572,18.620001,16.31996,398106800
22-10-2013,18.800358,18.873215,18.143929,18.566786,16.273317,534063600
23-10-2013,18.535713,18.77393,18.535713,18.748571,16.432648,313723200
24-10-2013,18.75,19.016787,18.65893,18.996786,16.6502,384764800
25-10-2013,18.975714,19.043928,18.753929,18.784286,16.463947,337792000
28-10-2013,18.894285,18.964287,18.686071,18.924286,16.586655,550440800
29-10-2013,19.1525,19.258928,18.376429,18.452856,16.17346,635807200
30-10-2013,18.557501,18.84,18.465,18.746429,16.430765,354163600
31-10-2013,18.75,18.838928,18.616785,18.667856,16.3619,275696400
01-11-2013,18.715,18.742857,18.422857,18.5725,16.278324,274890000
04-11-2013,18.610714,18.815001,18.528929,18.8125,16.488678,244627600
05-11-2013,18.735001,18.888929,18.678572,18.766071,16.447983,265213200
06-11-2013,18.719643,18.745001,18.507143,18.604286,16.401382,223375600
07-11-2013,18.556429,18.685356,18.299286,18.303213,16.135962,262620400
08-11-2013,18.377857,18.611786,18.306786,18.591429,16.390055,279316800
11-11-2013,18.571072,18.631071,18.371786,18.5375,16.342506,227452400
12-11-2013,18.488214,18.71143,18.464287,18.571787,16.372738,204276800
13-11-2013,18.5,18.651787,18.462856,18.593929,16.392256,197220800
14-11-2013,18.671785,18.902857,18.638214,18.862858,16.629339,282419200
15-11-2013,18.806429,18.89607,18.731787,18.749643,16.529528,317920400
